groups,effect,lower,upper
White v. Black people,0.523083239999382,0.369418002327989,0.676748477670776
White v. Asian people,1.14123291095145,0.890076275190176,1.39238954671273
White v. Hispanic people,1.97363177982564,1.55579522426516,2.39146833538612
Black v. Asian people,0.5000346534407,0.346660527335591,0.65340877954581
Black v. Hispanic people,1.08549664544823,0.835946190367873,1.33504710052858
Asian v. Hispanic people,0.575287152350309,0.417149053647455,0.733425251053163
